id,lastpage,study,vig1rep1,vig1rep2,vig1eve11,vig1eve12,vig1eve21,vig1eve22,vig1def1,vig1def2,vig1cha1,vig1cha2,vig1cha3,vig1com1,vig1com2,vig1com3,vig1qua1,vig1qua2,vig1qua3,vig2rep1,vig2rep2,vig2rep3,vig2rep4,vig2eve1,vig2eve2,vig2eve3,vig2eve4,vig2def1,vig2def2,vig2def3,vig2def4,vig2cha1,vig2cha2,vig2cha3,vig2cha4,vig2com1,vig2com2,vig2com3,vig2com4,vig2qua1,veg2qua2,vig2qua3,vig3rep1,vig3rep2,vig3eve1,vig3eve2,vig3def11,vig3def12,vig3def21,vig3def22,vig3cha1,vig3cha2,vig3cha3,vig3com11,vig3com12,vig3com13,vig3com21,vig3com22,vig3com23,vig3qua1,vig3qua2,vig3qua3,age,pol,gen,edu
1497,37,8,,,,,,,,,,,,,,,,,,,,,,7,1,1,7,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,61,5,3,14
1498,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,N,Y,,60,1,3,3
1503,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,N,Y,,68,4,1,14
1504,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,19,5,1,6
1505,30,3,,,,,7,3,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,37,4,,,,,,,7,7,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3,3,15
1507,18,7,,,,,,,,,,,,,,,,,,7,1,1,1,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,6,N,Y,,27,4,1,12
1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,37,6,,,,,,,,,,,,1,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,6,3,5
1512,37,5,,,,,,,,,7,7,7,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,5,1,7
1513,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
1515,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
1518,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4,7,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,10,2,,,7,1,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,7,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,18,7,,,,,,,,,,,,,,,,,,6,3,3,3,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,6,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,35,5,1,5
1524,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,10,4,,,,,,,7,7,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
1527,37,8,,,,,,,,,,,,,,,,,,,,,,7,6,6,7,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,61,7,3,5
1528,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,N,Y,,63,3,3,3
1529,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,76,6,3,7
1532,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,57,4,3,14
1533,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,21,5,1,6
1534,30,4,,,,,,,7,6,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,N,Y,,60,5,1,7
1536,37,6,,,,,,,,,,,,1,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,3,6
1537,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,N,Y,,19,6,1,2
1538,37,2,,,7,7,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,5,3,5
1539,30,1,5,4,,,,,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,,,,N,Y,Y,34,5,3,6
1541,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,N,Y,,62,8,3,7
1542,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,30,4,,,,,,,7,7,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,30,5,,,,,,,,,6,6,6,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,18,8,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,37,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,64,4,3,9
1548,10,2,,,7,1,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2,,,,,,,N,Y,,63,10,1,3
1552,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,N,Y,,42,3,1,14
1553,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,65,3,1,5
1554,37,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,N,Y,Y,52,6,3,7
1555,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,7,7,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
1559,37,4,,,,,,,7,7,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,5,1,8
1560,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,3,7,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
1561,37,4,,,,,,,7,7,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,5,1,11
1562,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,N,Y,,53,7,3,6
1563,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,N,Y,,83,5,3,5
1564,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,N,Y,,54,6,3,14
1565,37,6,,,,,,,,,,,,7,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,4,3,8
1566,37,3,,,,,7,7,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,6,1,10
1567,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,N,Y,,68,5,3,5
1568,18,8,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,N,Y,,26,6,3,12
1570,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,Y,,,,,,
1571,18,8,,,,,,,,,,,,,,,,,,,,,,7,3,3,7,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,30,3,,,,,2,5,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,37,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,4,N,N,Y,,,,,,,,,,,,,,,,,,,,,38,5,1,3
1574,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,N,Y,,65,5,1,5
1576,37,3,,,,,4,7,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5,1,11
1577,37,2,,,7,1,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,1,8
1578,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,7,,,,,,,N,Y,,65,5,1,5
1579,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,N,Y,,61,3,1,14
1580,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,N,Y,,40,5,3,5
1581,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,N,Y,,47,5,1,5
1583,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,37,5,,,,,,,,,7,7,5,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,6,1,9
1585,10,4,,,,,,,4,4,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,28,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,Y,,,,,,
1587,37,3,,,,,7,1,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,9,3,3
1588,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,N,Y,,23,5,1,7
1589,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,18,7,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,18,8,,,,,,,,,,,,,,,,,,,,,,6,2,2,7,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,18,8,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,,,,,,,Y,,,,,,
1595,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,N,Y,,20,3,3,6
1596,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,4,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
1597,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,,,,,Y,,,,,,
1598,37,3,,,,,7,1,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,6,3,5
1599,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,7,7,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,73,4,1,7
1605,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,52,6,3,7
1606,28,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,Y,,,,,,
1607,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,68,5,1,5
1608,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,37,5,,,,,,,,,7,7,7,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,7,3,3
1610,29,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,N,N,,,,,
1611,37,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,N,Y,Y,40,3,3,7
1612,37,1,7,3,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,8,3,7
1613,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,,,,,,,N,Y,,20,5,1,3
1615,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,N,Y,,30,5,3,5
1616,18,7,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,37,2,,,7,7,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,5,3,6
1618,30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,N,N,,,,,
1619,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,N,Y,,38,3,1,14
1620,10,1,1,7,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,33,2,,,7,1,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,5,1,
1622,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,37,7,,,,,,,,,,,,,,,,,,7,3,1,5,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,20,3,3,6
1624,37,6,,,,,,,,,,,,1,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,4,1,6
1625,37,3,,,,,7,7,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,10,3,4
1626,10,5,,,,,,,,,1,1,1,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,N,Y,,76,6,3,7
1628,10,2,,,5,6,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,37,5,,,,,,,,,7,7,7,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,5,3,9
1630,37,3,,,,,3,3,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,7,3,3
1631,37,1,7,1,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,9,1,6
1632,37,8,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,34,10,1,14
1633,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,37,1,7,1,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,5,3,10
1635,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,N,N,,,,,
1636,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,39,7,3,6
1638,18,8,,,,,,,,,,,,,,,,,,,,,,7,7,5,7,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,37,2,,,7,1,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,4,3,7
1640,37,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,41,4,3,14
1641,18,7,,,,,,,,,,,,,,,,,,3,4,3,5,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,10,4,,,,,,,4,4,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,37,6,,,,,,,,,,,,7,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,5,1,7
1644,37,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,6,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,25,5,1,12
1645,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,4,,,,N,Y,N,,,,
1646,28,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,Y,,,,,,
1647,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,N,Y,,49,5,1,3
1648,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,N,Y,,39,4,1,5
1649,9,4,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,37,3,,,,,7,5,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,5,1,7
1651,10,1,7,7,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,37,5,,,,,,,,,7,7,7,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,1,11
1653,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,7,7,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,33,8,1,11
1655,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,Y,,,,,,
1656,37,8,,,,,,,,,,,,,,,,,,,,,,7,4,4,7,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,22,2,1,7
1657,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,18,7,,,,,,,,,,,,,,,,,,7,7,6,7,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
1661,37,7,,,,,,,,,,,,,,,,,,7,1,1,7,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,63,4,1,6
1662,18,7,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,37,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,N,Y,Y,39,8,3,14
1664,30,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,N,Y,N,,,,
1665,37,6,,,,,,,,,,,,7,5,4,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,7,3,5
1666,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,N,Y,Y,54,5,3,6
1667,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,7,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,N,N,,,,,
1669,37,5,,,,,,,,,7,7,7,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,5,1,14
1670,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,N,Y,Y,68,5,3,5
1671,21,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
